season,week,home_team,away_team,home_points,away_points,actual_margin,spread_line,ats_pick_team,ats_pick_description,spread_result,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,7,Middle Tennessee,Missouri State,20.0,22.0,-2.0,2.5,no bet,no bet,no bet,False,,True,0.0,0.21041614697170985,3.0680248472751686
2025,7,UTEP,Liberty,8.0,19.0,-11.0,1.5,UTEP,UTEP +1.5,LOSS,True,0.0,True,0.0,5.952282224632424,7.619842311685758
2025,7,Kennesaw State,Louisiana Tech,35.0,7.0,28.0,5.5,Louisiana Tech,Louisiana Tech -5.5,LOSS,True,0.0,True,0.0,-4.426357424571704,9.193166836673043
2025,7,Tulane,East Carolina,26.0,19.0,7.0,-6.5,Tulane,Tulane -6.5,WIN,True,1.0,True,0.0,15.395752105382446,1.5141009553306546
2025,7,Georgia Southern,Southern Miss,35.0,38.0,-3.0,2.5,Southern Miss,Southern Miss -2.5,WIN,True,1.0,True,0.0,-0.6888079140399688,-4.456996864679837
2025,7,Sam Houston,Jacksonville State,27.0,29.0,-2.0,7.5,Jacksonville State,Jacksonville State -7.5,WIN,True,1.0,True,1.0,-17.734049077130265,2.7171947362647515
2025,7,North Texas,South Florida,36.0,63.0,-27.0,-2.5,North Texas,North Texas -2.5,LOSS,True,0.0,True,0.0,15.617845283096747,-13.408057599309771
2025,7,Colorado State,Fresno State,49.0,21.0,28.0,5.5,Fresno State,Fresno State -5.5,LOSS,True,0.0,True,1.0,-12.957822498365543,5.651156283518098
2025,7,Washington,Rutgers,38.0,19.0,19.0,-9.5,Washington,Washington -9.5,WIN,True,1.0,True,1.0,22.536041778997067,-6.97542405857746
2025,7,Illinois,Ohio State,16.0,34.0,-18.0,15.5,Ohio State,Ohio State -15.5,WIN,True,1.0,True,0.0,-12.307850635246634,3.86971387594987
2025,7,Oklahoma State,Houston,17.0,39.0,-22.0,14.5,Houston,Houston -14.5,WIN,True,1.0,True,1.0,-21.51531971714754,7.864631612615767
2025,7,Cincinnati,UCF,20.0,11.0,9.0,-10.5,Cincinnati,Cincinnati -10.5,LOSS,True,0.0,False,,24.124217088998122,0.08787926383164546
2025,7,Army,Charlotte,24.0,7.0,17.0,-17.5,Charlotte,Charlotte +17.5,WIN,True,1.0,True,0.0,33.66260671605572,11.794164530325972
2025,7,Michigan State,UCLA,13.0,38.0,-25.0,-6.5,Michigan State,Michigan State -6.5,LOSS,True,0.0,True,0.0,23.36325284063542,4.03704194924412
2025,7,Florida State,Pittsburgh,31.0,34.0,-3.0,-11.5,Pittsburgh,Pittsburgh +11.5,WIN,True,1.0,True,0.0,18.179351052473532,-1.5900702713011299
2025,7,SMU,Stanford,34.0,10.0,24.0,-19.5,Stanford,Stanford +19.5,LOSS,True,0.0,False,,34.36964875752278,0.21738862271860881
2025,7,Missouri,Alabama,24.0,27.0,-3.0,3.5,Missouri,Missouri +3.5,LOSS,True,0.0,True,1.0,6.015622614121748,4.548901788627205
2025,7,James Madison,Louisiana,24.0,14.0,10.0,-18.5,Louisiana,Louisiana +18.5,WIN,True,1.0,True,0.0,35.50768576803894,9.170883145082712
2025,7,Akron,Miami (OH),7.0,20.0,-13.0,11.5,Miami (OH),Miami (OH) -11.5,WIN,True,1.0,True,0.0,-7.948001386957403,6.703591133875221
2025,7,Bowling Green,Toledo,28.0,23.0,5.0,10.5,Toledo,Toledo -10.5,WIN,True,1.0,True,1.0,-11.901764387624128,8.486101515476598
2025,7,Ole Miss,Washington State,24.0,21.0,3.0,-32.5,Washington State,Washington State +32.5,WIN,True,1.0,True,1.0,51.535225351013544,-3.228938149668302
2025,7,Eastern Michigan,Northern Illinois,16.0,10.0,6.0,1.5,Eastern Michigan,Eastern Michigan +1.5,WIN,True,1.0,True,0.0,5.068562410486844,6.798721502416768
2025,7,Kent State,Massachusetts,42.0,6.0,36.0,-1.5,Kent State,Kent State -1.5,WIN,True,1.0,True,0.0,13.518007000720328,4.949392647651386
2025,7,Notre Dame,NC State,36.0,7.0,29.0,-24.5,NC State,NC State +24.5,LOSS,True,0.0,True,1.0,36.34528340621863,-3.1380673297803554
2025,7,Oregon State,Wake Forest,14.0,39.0,-25.0,1.5,Wake Forest,Wake Forest -1.5,WIN,True,1.0,True,1.0,-7.4510432166148,8.37529496452747
2025,7,Penn State,Northwestern,21.0,22.0,-1.0,-20.5,Northwestern,Northwestern +20.5,WIN,True,1.0,True,0.0,30.707445895887645,7.829816320345515
2025,7,Oregon,Indiana,20.0,30.0,-10.0,-7.5,Indiana,Indiana +7.5,WIN,True,1.0,True,0.0,14.799448661199008,4.104454033562938
2025,7,Maryland,Nebraska,31.0,34.0,-3.0,6.5,Maryland,Maryland +6.5,LOSS,True,0.0,True,1.0,1.6656724053468004,7.321520514883993
2025,7,Western Michigan,Ball State,42.0,0.0,42.0,-9.5,Western Michigan,Western Michigan -9.5,WIN,True,1.0,True,0.0,21.41779729454957,12.149650272070147
2025,7,Texas,Oklahoma,23.0,6.0,17.0,-2.5,Oklahoma,Oklahoma +2.5,LOSS,True,0.0,True,0.0,-6.637407774286469,11.285934492865884
2025,7,Georgia Tech,Virginia Tech,35.0,20.0,15.0,-14.5,Georgia Tech,Georgia Tech -14.5,WIN,True,1.0,False,,37.44473622873809,0.057105493707268806
2025,7,Colorado,Iowa State,24.0,17.0,7.0,2.5,Iowa State,Iowa State -2.5,LOSS,True,0.0,True,0.0,-5.105529653800869,2.5237869274585023
2025,7,Georgia State,App State,20.0,41.0,-21.0,2.5,App State,App State -2.5,WIN,True,1.0,True,0.0,-2.3483823557079635,-0.5934362569683458
2025,7,Marshall,Old Dominion,48.0,24.0,24.0,14.5,Old Dominion,Old Dominion -14.5,LOSS,True,0.0,True,0.0,-14.673962361660612,-2.6301355593229374
2025,7,Kansas State,TCU,41.0,28.0,13.0,2.5,TCU,TCU -2.5,LOSS,True,0.0,True,1.0,-4.399702848194964,1.606935777373657
2025,7,UNLV,Air Force,51.0,48.0,3.0,-7.5,UNLV,UNLV -7.5,LOSS,True,0.0,True,0.0,30.43068173622459,-10.598430818729568
2025,7,Temple,Navy,31.0,32.0,-1.0,10.5,Navy,Navy -10.5,WIN,True,1.0,True,1.0,-12.030575749345482,3.4202656362791046
2025,7,Tennessee,Arkansas,34.0,31.0,3.0,-10.5,Tennessee,Tennessee -10.5,LOSS,True,0.0,True,1.0,27.924988434509213,-11.270580910989217
2025,7,Florida Atlantic,UAB,53.0,33.0,20.0,-5.5,Florida Atlantic,Florida Atlantic -5.5,WIN,True,1.0,True,0.0,16.766857000980153,-8.983219068187253
2025,7,Texas A&M,Florida,34.0,17.0,17.0,-6.5,Texas A&M,Texas A&M -6.5,WIN,True,1.0,True,1.0,23.87731149417187,5.804530131240227
2025,7,Wyoming,San José State,35.0,28.0,7.0,1.5,Wyoming,Wyoming +1.5,WIN,True,1.0,True,1.0,3.9008570044849673,5.027498445162109
2025,7,Coastal Carolina,UL Monroe,23.0,8.0,15.0,2.5,Coastal Carolina,Coastal Carolina +2.5,WIN,True,1.0,True,0.0,2.166245723541543,7.873761538887059
2025,7,Wisconsin,Iowa,0.0,37.0,-37.0,4.5,Iowa,Iowa -4.5,WIN,True,1.0,True,0.0,-5.2444926437841435,16.882535508382148
2025,7,Texas Tech,Kansas,42.0,17.0,25.0,-13.5,Texas Tech,Texas Tech -13.5,WIN,True,1.0,True,0.0,30.02071424454242,-2.4297390559966203
2025,7,UTSA,Rice,61.0,13.0,48.0,-9.5,Rice,Rice +9.5,LOSS,True,0.0,True,1.0,16.01579233275201,8.013647136673605
2025,7,USC,Michigan,31.0,13.0,18.0,-2.5,USC,USC -2.5,WIN,True,1.0,True,1.0,13.071728208649136,-0.8668309756164447
2025,7,Boston College,Clemson,10.0,41.0,-31.0,13.5,Clemson,Clemson -13.5,WIN,True,1.0,True,0.0,-10.843267711595786,1.6173328599627226
2025,7,Auburn,Georgia,10.0,20.0,-10.0,4.5,no bet,no bet,no bet,False,,True,0.0,-0.45147129715299616,9.672526852274714
2025,7,Minnesota,Purdue,27.0,20.0,7.0,-7.5,Minnesota,Minnesota -7.5,LOSS,True,0.0,True,0.0,21.14938720020544,5.508597073687426
2025,7,LSU,South Carolina,20.0,10.0,10.0,-8.5,LSU,LSU -8.5,WIN,True,1.0,True,0.0,20.78247004849615,9.893692312305546
2025,7,Arizona,BYU,27.0,33.0,-6.0,2.5,BYU,BYU -2.5,WIN,True,1.0,True,1.0,-1.066971684258958,8.65794181303908
2025,7,Texas State,Troy,41.0,48.0,-7.0,-7.5,Texas State,Texas State -7.5,LOSS,True,0.0,True,1.0,18.31863526012765,1.86693233533191
2025,7,Boise State,New Mexico,41.0,25.0,16.0,-15.5,New Mexico,New Mexico +15.5,LOSS,True,0.0,True,0.0,23.767136756645822,-1.7289970940462212
2025,7,Utah,Arizona State,42.0,10.0,32.0,-8.5,Utah,Utah -8.5,WIN,True,1.0,True,1.0,19.480085386686817,13.113228684771613
2025,7,Nevada,San Diego State,10.0,44.0,-34.0,6.5,San Diego State,San Diego State -6.5,WIN,True,1.0,True,1.0,-11.664288639499677,11.321210130242363
2025,7,Hawai'i,Utah State,44.0,26.0,18.0,1.5,Hawai'i,Hawai'i +1.5,WIN,True,1.0,True,0.0,6.813085615268875,-2.9185484919653675
