season,week,home_team,away_team,home_points,away_points,actual_margin,spread_line,ats_pick_team,ats_pick_description,spread_result,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,14,Massachusetts,Bowling Green,14.0,45.0,-31.0,14.5,Bowling Green,Bowling Green -14.5,WIN,True,1.0,True,1.0,-18.239013061462295,9.904281148030549
2025,14,Eastern Michigan,Western Michigan,21.0,31.0,-10.0,9.5,Western Michigan,Western Michigan -9.5,WIN,True,1.0,True,1.0,-13.964602640972872,5.172892260067343
2025,14,Memphis,Navy,17.0,28.0,-11.0,-3.5,Memphis,Memphis -3.5,LOSS,True,0.0,True,1.0,12.626495641192006,-2.1410501017722225
2025,14,Mississippi State,Ole Miss,19.0,38.0,-19.0,7.5,Ole Miss,Ole Miss -7.5,WIN,True,1.0,True,1.0,-19.540206832482745,-5.785855559523306
2025,14,Nebraska,Iowa,16.0,40.0,-24.0,5.5,Iowa,Iowa -5.5,WIN,True,1.0,True,1.0,-3.377313792366446,16.972570917786108
2025,14,Buffalo,Ohio,26.0,31.0,-5.0,7.5,Ohio,Ohio -7.5,WIN,True,1.0,True,1.0,-10.205952660155162,9.638742723786095
2025,14,Kansas,Utah,21.0,31.0,-10.0,10.5,Utah,Utah -10.5,WIN,True,1.0,True,1.0,-24.88921649615355,-2.987412376084997
2025,14,Northern Illinois,Kent State,31.0,35.0,-4.0,-5.5,Kent State,Kent State +5.5,WIN,True,1.0,True,1.0,10.42101941465137,9.787798440878404
2025,14,Colorado State,Air Force,21.0,42.0,-21.0,2.5,Air Force,Air Force -2.5,WIN,True,1.0,True,1.0,-0.9434952759682889,8.122792629319356
2025,14,North Texas,Temple,52.0,25.0,27.0,-20.5,North Texas,North Texas -20.5,WIN,True,1.0,True,0.0,48.50807154390254,-8.737735467069577
2025,14,Georgia Tech,Georgia,9.0,16.0,-7.0,15.5,Georgia,Georgia -15.5,WIN,True,1.0,True,1.0,-25.412754990856058,-4.208401300972582
2025,14,New Mexico,San Diego State,23.0,17.0,6.0,1.5,New Mexico,New Mexico +1.5,WIN,True,1.0,True,0.0,1.342417751482924,13.2794815616911
2025,14,Utah State,Boise State,24.0,25.0,-1.0,1.5,Utah State,Utah State +1.5,LOSS,True,0.0,True,0.0,3.065852759168722,0.6491441916342069
2025,14,Texas,Texas A&M,27.0,17.0,10.0,2.5,Texas A&M,Texas A&M -2.5,LOSS,True,0.0,True,0.0,-5.355965758183693,1.811126858566766
2025,14,Purdue,Indiana,3.0,56.0,-53.0,28.5,Indiana,Indiana -28.5,WIN,True,1.0,True,1.0,-57.00837759289207,1.5162558930066936
2025,14,Arizona State,Arizona,7.0,23.0,-16.0,2.5,Arizona State,Arizona State +2.5,LOSS,True,0.0,True,0.0,1.43091075444767,7.748905514307452
2025,14,Oklahoma State,Iowa State,13.0,20.0,-7.0,13.5,Iowa State,Iowa State -13.5,WIN,True,1.0,True,0.0,-29.40990237488774,7.410524953273168
2025,14,Kansas State,Colorado,24.0,14.0,10.0,-16.5,Kansas State,Kansas State -16.5,LOSS,True,0.0,True,0.0,37.58090723529174,4.748403939761424
2025,14,Baylor,Houston,24.0,31.0,-7.0,-2.5,Houston,Houston +2.5,WIN,True,1.0,True,1.0,1.4063146795777794,-1.4246181583139972
2025,14,Pittsburgh,Miami,7.0,38.0,-31.0,6.5,Miami,Miami -6.5,WIN,True,1.0,True,0.0,-0.882447217037452,6.530829083506227
2025,14,South Carolina,Clemson,14.0,28.0,-14.0,-2.5,Clemson,Clemson +2.5,WIN,True,1.0,True,0.0,2.6499067650245127,9.890092783272522
2025,14,West Virginia,Texas Tech,0.0,49.0,-49.0,24.5,Texas Tech,Texas Tech -24.5,WIN,True,1.0,True,0.0,-44.287301713316516,2.10143246910598
2025,14,Michigan,Ohio State,9.0,27.0,-18.0,9.5,Ohio State,Ohio State -9.5,WIN,True,1.0,True,0.0,-11.849524247346318,11.180696213148359
2025,14,Central Michigan,Toledo,3.0,21.0,-18.0,10.5,Toledo,Toledo -10.5,WIN,True,1.0,True,0.0,-6.4927463126773,8.233009968536066
2025,14,Florida Atlantic,East Carolina,3.0,42.0,-39.0,6.5,East Carolina,East Carolina -6.5,WIN,True,1.0,True,1.0,-9.819535877031694,-9.673839970018804
2025,14,Louisville,Kentucky,41.0,0.0,41.0,1.5,Louisville,Louisville +1.5,WIN,True,1.0,True,0.0,12.327565888564259,9.231931372194929
2025,14,Miami (OH),Ball State,45.0,24.0,21.0,-16.5,Miami (OH),Miami (OH) -16.5,WIN,True,1.0,True,1.0,38.39384231215253,13.605297318088134
2025,14,Delaware,UTEP,61.0,31.0,30.0,-4.5,Delaware,Delaware -4.5,WIN,True,1.0,False,,18.824341095726655,-0.2657778321182178
2025,14,Sam Houston,Florida International,16.0,56.0,-40.0,10.5,Florida International,Florida International -10.5,WIN,True,1.0,True,1.0,-27.400866483183165,4.499726668725351
2025,14,BYU,UCF,41.0,21.0,20.0,-17.5,BYU,BYU -17.5,WIN,True,1.0,True,1.0,46.37971415735372,8.024837719904369
2025,14,Marshall,Georgia Southern,19.0,24.0,-5.0,-10.5,Marshall,Marshall -10.5,LOSS,True,0.0,True,1.0,23.133041721094067,-5.6046228486766765
2025,14,Old Dominion,Georgia State,27.0,10.0,17.0,-28.5,Old Dominion,Old Dominion -28.5,LOSS,True,0.0,True,1.0,66.17754421640075,-4.168516998154402
2025,14,Missouri State,Louisiana Tech,30.0,42.0,-12.0,-2.5,Missouri State,Missouri State -2.5,LOSS,True,0.0,True,1.0,9.461910672899524,9.1882924075136
2025,14,Jacksonville State,Western Kentucky,37.0,34.0,3.0,1.5,Jacksonville State,Jacksonville State +1.5,WIN,True,1.0,True,0.0,4.770590923013571,-0.99545582407832
2025,14,App State,Arkansas State,29.0,30.0,-1.0,1.5,App State,App State +1.5,LOSS,True,0.0,True,1.0,6.206938027128713,1.0686349498430872
2025,14,Texas State,South Alabama,49.0,26.0,23.0,-9.5,Texas State,Texas State -9.5,WIN,True,1.0,True,0.0,22.650449940790285,-6.123125381875241
2025,14,New Mexico State,Middle Tennessee,24.0,31.0,-7.0,-3.5,New Mexico State,New Mexico State -3.5,LOSS,True,0.0,True,1.0,18.208196325115374,3.034879931064445
2025,14,Tulsa,UAB,24.0,31.0,-7.0,-9.5,Tulsa,Tulsa -9.5,LOSS,True,0.0,True,1.0,23.21744011415201,-1.4181315405728157
2025,14,Louisiana,UL Monroe,30.0,27.0,3.0,-10.5,Louisiana,Louisiana -10.5,LOSS,True,0.0,True,1.0,32.426666154949864,8.392468288277684
