season,week,home_team,away_team,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,1,Virginia,Coastal Carolina,True,1.0,True,0.0,20.65982078598975,-2.7871148786854363
2025,1,Oklahoma,Illinois State,True,1.0,True,1.0,45.65982078598975,-8.787114878685436
2025,1,Vanderbilt,Charleston Southern,True,1.0,True,0.0,45.65982078598975,1.2128851213145637
2025,1,Middle Tennessee,Austin Peay,True,0.0,True,1.0,23.65982078598975,-1.7871148786854363
2025,1,South Alabama,Morgan State,True,1.0,True,1.0,35.65982078598975,1.2128851213145637
2025,1,Troy,Nicholls,True,1.0,True,1.0,23.65982078598975,5.212885121314564
2025,1,Arkansas State,Southeast Missouri State,True,1.0,True,0.0,22.65982078598975,-7.787114878685436
2025,1,Florida,Long Island University,True,1.0,True,1.0,53.65982078598975,-4.787114878685436
2025,1,Texas A&M,UTSA,True,1.0,True,0.0,30.65982078598975,-7.787114878685436
2025,1,Kansas State,North Dakota,True,1.0,True,0.0,33.23914880929413,-1.2469709390853438
2025,1,Western Kentucky,North Alabama,True,1.0,True,0.0,37.15684631847971,-5.418868238428125
2025,1,Utah State,UTEP,True,1.0,True,1.0,11.659820785989751,-6.787114878685436
2025,1,Michigan,New Mexico,True,1.0,True,1.0,41.65982078598975,2.2128851213145637
2025,1,Clemson,LSU,True,0.0,True,1.0,12.659820785989751,-3.7871148786854363
2025,1,USC,Missouri State,True,1.0,True,0.0,43.65982078598975,-8.787114878685436
2025,1,Louisiana Tech,SE Louisiana,True,1.0,True,0.0,21.65982078598975,1.2128851213145637
2025,1,Texas Tech,Arkansas-Pine Bluff,False,,True,0.0,,-10.787114878685436
2025,1,Ole Miss,Georgia State,True,1.0,True,0.0,40.65982078598975,-9.787114878685436
2025,1,North Texas,Lamar,True,1.0,True,1.0,34.65982078598975,-10.787114878685436
2025,1,BYU,Portland State,True,1.0,True,0.0,51.65982078598975,-10.787114878685436
2025,1,Texas State,Eastern Michigan,True,1.0,True,0.0,20.65982078598975,-4.787114878685436
2025,1,Tulsa,Abilene Christian,True,1.0,True,1.0,12.659820785989751,-7.787114878685436
2025,1,Louisiana,Rice,True,1.0,True,0.0,16.65982078598975,3.2128851213145637
2025,1,New Mexico State,Bryant,True,1.0,True,1.0,26.65982078598975,-0.7871148786854363
2025,1,SMU,East Texas A&M,True,1.0,True,1.0,57.65982078598975,-12.787114878685436
2025,1,Fresno State,Georgia Southern,True,1.0,False,,2.87899679729256,0.21288512131456372
2025,1,Arizona State,Northern Arizona,True,1.0,True,0.0,36.65982078598975,-0.7871148786854363
2025,1,Washington State,Idaho,True,1.0,True,0.0,23.65982078598975,1.2128851213145637
2025,1,Oregon State,California,True,0.0,True,1.0,4.659820785989751,3.2128851213145637
2025,1,Arizona,Hawai'i,True,1.0,True,1.0,21.462185081929714,-3.7871148786854363
2025,1,UCLA,Utah,True,0.0,True,1.0,0.6598207859897514,3.2128851213145637
2025,1,Washington,Colorado State,True,1.0,False,,29.65982078598975,0.21288512131456372
2025,1,South Carolina,Virginia Tech,True,1.0,False,,7.687045609524284,-0.39265866397143157
2025,1,Miami,Notre Dame,True,1.0,True,1.0,4.659820785989751,1.2128851213145637
2025,1,North Carolina,TCU,True,0.0,True,0.0,3.6598207859897514,-2.7871148786854363
