season,week,home_team,away_team,home_points,away_points,actual_margin,spread_line,ats_pick_team,ats_pick_description,spread_result,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,2,Louisville,James Madison,28.0,14.0,14.0,-15.5,James Madison,James Madison +15.5,WIN,True,1.0,True,1.0,22.618089228147205,-1.426986618993169
2025,2,Northwestern,Western Illinois,42.0,7.0,35.0,-30.5,Western Illinois,Western Illinois +30.5,LOSS,True,0.0,True,1.0,38.39211410975037,3.0557436104815707
2025,2,Maryland,Northern Illinois,20.0,9.0,11.0,-16.5,Northern Illinois,Northern Illinois +16.5,WIN,True,1.0,True,0.0,25.714656641907148,9.367497246882984
2025,2,Boise State,Eastern Washington,51.0,14.0,37.0,-33.5,Eastern Washington,Eastern Washington +33.5,LOSS,True,0.0,True,0.0,37.76279641182291,-8.785355415992107
2025,2,Florida State,East Texas A&M,77.0,3.0,74.0,-43.5,East Texas A&M,East Texas A&M +43.5,LOSS,True,0.0,True,0.0,55.92194771878516,-1.9794224552404671
2025,2,Duke,Illinois,19.0,45.0,-26.0,2.5,Duke,Duke +2.5,LOSS,True,0.0,True,1.0,4.171689568822213,5.316348406695383
2025,2,Jacksonville State,Liberty,34.0,24.0,10.0,6.5,Liberty,Liberty -6.5,LOSS,True,0.0,True,1.0,-3.825815203618946,1.2146445840078925
2025,2,Indiana,Kennesaw State,56.0,9.0,47.0,-35.5,Kennesaw State,Kennesaw State +35.5,LOSS,True,0.0,True,1.0,45.52207168359874,2.6517365511160733
2025,2,Texas,San José State,38.0,7.0,31.0,-36.5,San José State,San José State +36.5,WIN,True,1.0,True,1.0,43.14843274665424,-0.7853554159921075
2025,2,Minnesota,Northwestern State,66.0,0.0,66.0,,no bet,no line,no bet,False,,True,1.0,,1.8907131710360687
2025,2,SMU,Baylor,45.0,48.0,-3.0,-2.5,SMU,SMU -2.5,LOSS,True,0.0,True,0.0,15.79360078766116,-11.088858554660725
2025,2,Syracuse,UConn,27.0,20.0,7.0,-7.5,UConn,UConn +7.5,WIN,True,1.0,True,1.0,8.244209240155072,-5.7853554159921075
2025,2,Iowa State,Iowa,16.0,13.0,3.0,-3.5,Iowa State,Iowa State -3.5,LOSS,True,0.0,True,0.0,12.372854145017618,11.051937178380186
2025,2,Texas Tech,Kent State,62.0,14.0,48.0,-47.5,Kent State,Kent State +47.5,LOSS,True,0.0,True,0.0,56.80413483420085,-4.434732872996911
2025,2,NC State,Virginia,35.0,31.0,4.0,-2.5,NC State,NC State -2.5,WIN,True,1.0,True,1.0,8.20941996838515,1.4180209966053
2025,2,Pittsburgh,Central Michigan,45.0,17.0,28.0,-21.5,Central Michigan,Central Michigan +21.5,LOSS,True,0.0,True,1.0,30.770477880685654,7.023987751148226
2025,2,Penn State,Florida International,34.0,0.0,34.0,-41.5,Florida International,Florida International +41.5,WIN,True,1.0,True,0.0,48.69182943121702,0.9438141911133897
2025,2,Texas A&M,Utah State,44.0,22.0,22.0,-34.5,Utah State,Utah State +34.5,WIN,True,1.0,True,0.0,41.970382885710805,-2.327453750609685
2025,2,Temple,Howard,55.0,7.0,48.0,-27.5,Howard,Howard +27.5,LOSS,True,0.0,True,1.0,38.78949735255657,6.2146445840078925
2025,2,Wake Forest,Western Carolina,42.0,10.0,32.0,-17.5,Western Carolina,Western Carolina +17.5,LOSS,True,0.0,True,1.0,25.241440711994187,-6.734612891855505
2025,2,New Mexico,Idaho State,32.0,22.0,10.0,-17.5,Idaho State,Idaho State +17.5,WIN,True,1.0,True,1.0,23.94164117513516,-7.7263429148296865
2025,2,Missouri,Kansas,42.0,31.0,11.0,-6.5,Kansas,Kansas +6.5,LOSS,True,0.0,True,1.0,11.470894416325605,5.239383534141545
2025,2,Clemson,Troy,27.0,16.0,11.0,-29.5,Troy,Troy +29.5,WIN,True,1.0,True,0.0,31.631557371428656,1.8191360565452541
2025,2,Buffalo,St. Francis (PA),45.0,6.0,39.0,-37.5,St. Francis (PA),St. Francis (PA) +37.5,LOSS,True,0.0,True,1.0,45.30106324378512,3.0577780534329264
2025,2,Colorado,Delaware,31.0,7.0,24.0,-23.5,Delaware,Delaware +23.5,LOSS,True,0.0,True,0.0,25.631557371428656,4.939097199231945
2025,2,Massachusetts,Bryant,26.0,27.0,-1.0,-16.5,Bryant,Bryant +16.5,WIN,True,1.0,True,1.0,21.943788224784633,2.56920384018418
2025,2,Georgia,Austin Peay,28.0,6.0,22.0,-46.5,Austin Peay,Austin Peay +46.5,WIN,True,1.0,True,1.0,53.19744279555415,-1.0646277572488714
2025,2,Navy,UAB,38.0,24.0,14.0,-22.5,UAB,UAB +22.5,WIN,True,1.0,True,0.0,30.878861875774682,-4.076395308775538
2025,2,Cincinnati,Bowling Green,34.0,20.0,14.0,-21.5,Bowling Green,Bowling Green +21.5,WIN,True,1.0,True,1.0,24.63245038992418,7.326234382225557
2025,2,Western Michigan,North Texas,30.0,33.0,-3.0,12.5,North Texas,North Texas -12.5,WIN,True,1.0,True,0.0,-11.269980198227014,-4.7853554159921075
2025,2,Kentucky,Ole Miss,23.0,30.0,-7.0,7.5,Ole Miss,Ole Miss -7.5,WIN,True,1.0,True,1.0,-1.9526997416633316,2.348802378055211
2025,2,Rutgers,Miami (OH),45.0,17.0,28.0,-15.5,Miami (OH),Miami (OH) +15.5,LOSS,True,0.0,True,1.0,26.338260241703303,9.722900371431194
2025,2,Oregon State,Fresno State,27.0,36.0,-9.0,-1.5,Oregon State,Oregon State -1.5,LOSS,True,0.0,True,1.0,4.734078045680199,10.327601339684804
2025,2,Ohio State,Grambling,70.0,0.0,70.0,-51.5,Grambling,Grambling +51.5,LOSS,True,0.0,True,0.0,60.43945404056092,-11.701940146081391
2025,2,Oregon,Oklahoma State,69.0,3.0,66.0,-28.5,Oklahoma State,Oklahoma State +28.5,LOSS,True,0.0,False,,36.338642379327396,-0.3616411274449476
2025,2,App State,Lindenwood,20.0,13.0,7.0,-29.5,Lindenwood,Lindenwood +29.5,WIN,True,1.0,True,1.0,39.90032483348663,-2.7853554159921075
2025,2,Tennessee,East Tennessee State,72.0,17.0,55.0,-40.5,East Tennessee State,East Tennessee State +40.5,LOSS,True,0.0,True,0.0,50.71342311575761,-3.060684026353769
2025,2,Georgia Tech,Gardner-Webb,59.0,12.0,47.0,-37.5,Gardner-Webb,Gardner-Webb +37.5,LOSS,True,0.0,True,0.0,47.10877383404765,-6.7853554159921075
2025,2,UTSA,Texas State,36.0,43.0,-7.0,-4.5,Texas State,Texas State +4.5,WIN,True,1.0,True,0.0,6.2823024415367605,-12.785355415992107
2025,2,Wisconsin,Middle Tennessee,42.0,10.0,32.0,-28.5,Middle Tennessee,Middle Tennessee +28.5,LOSS,True,0.0,True,1.0,41.7512293178098,7.9418620112236695
2025,2,Ohio,West Virginia,17.0,10.0,7.0,3.5,West Virginia,West Virginia -3.5,LOSS,True,0.0,True,1.0,-0.8059480310883593,-6.7853554159921075
2025,2,Wyoming,Northern Iowa,31.0,7.0,24.0,-13.5,Northern Iowa,Northern Iowa +13.5,LOSS,True,0.0,True,0.0,23.486478660763076,6.2146445840078925
2025,2,Florida,South Florida,16.0,18.0,-2.0,-18.5,South Florida,South Florida +18.5,WIN,True,1.0,True,1.0,26.241440711994187,-4.432593151470478
2025,2,Southern Miss,Jackson State,38.0,20.0,18.0,-13.5,Jackson State,Jackson State +13.5,LOSS,True,0.0,True,1.0,17.214283402011546,2.2952950419268845
2025,2,Arkansas,Arkansas State,56.0,14.0,42.0,-24.5,Arkansas State,Arkansas State +24.5,LOSS,True,0.0,True,0.0,25.451252234203643,-7.698878546110102
2025,2,Nevada,Sacramento State,20.0,17.0,3.0,-9.5,Sacramento State,Sacramento State +9.5,WIN,True,1.0,True,1.0,13.54561451800171,-3.7853554159921075
2025,2,Marshall,Missouri State,20.0,21.0,-1.0,-7.5,Marshall,Marshall -7.5,LOSS,True,0.0,True,1.0,15.02899408450861,-1.649926249861828
2025,2,East Carolina,Campbell,56.0,3.0,53.0,-30.5,Campbell,Campbell +30.5,LOSS,True,0.0,True,0.0,35.84541405486074,-3.7853554159921075
2025,2,Utah,Cal Poly,63.0,9.0,54.0,-42.5,Cal Poly,Cal Poly +42.5,LOSS,True,0.0,True,0.0,53.82490472000613,-0.7853554159921075
2025,2,Old Dominion,North Carolina Central,54.0,6.0,48.0,-21.5,North Carolina Central,North Carolina Central +21.5,LOSS,True,0.0,True,1.0,26.36180307610627,3.2146445840078925
2025,2,California,Texas Southern,35.0,3.0,32.0,-44.5,Texas Southern,Texas Southern +44.5,WIN,True,1.0,True,1.0,55.19554845241336,-2.7853554159921075
2025,2,Florida Atlantic,Florida A&M,56.0,14.0,42.0,-21.5,Florida A&M,Florida A&M +21.5,LOSS,True,0.0,True,1.0,25.62080835294332,1.2146445840078925
2025,2,Georgia State,Memphis,16.0,38.0,-22.0,15.5,Memphis,Memphis -15.5,WIN,True,1.0,True,1.0,-14.948325472514842,-5.7853554159921075
2025,2,Miami,Bethune-Cookman,45.0,3.0,42.0,-54.5,Bethune-Cookman,Bethune-Cookman +54.5,WIN,True,1.0,True,1.0,65.88787152248047,-9.829171366086392
