season,week,home_team,away_team,home_points,away_points,actual_margin,spread_line,ats_pick_team,ats_pick_description,spread_result,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,12,Akron,Kent State,35.0,42.0,-7.0,-7.5,Akron,Akron -7.5,LOSS,True,0.0,True,1.0,18.000040867090355,4.509246169932624
2025,12,Western Michigan,Ohio,17.0,13.0,4.0,-1.5,Western Michigan,Western Michigan -1.5,WIN,True,1.0,True,0.0,5.965132537315981,8.148026510745623
2025,12,Miami (OH),Toledo,3.0,24.0,-21.0,6.5,Miami (OH),Miami (OH) +6.5,LOSS,True,0.0,True,0.0,0.6718200439138791,10.276436963403818
2025,12,Massachusetts,Northern Illinois,3.0,45.0,-42.0,8.5,Northern Illinois,Northern Illinois -8.5,WIN,True,1.0,True,1.0,-10.296659802683457,10.668741141626853
2025,12,Central Michigan,Buffalo,38.0,19.0,19.0,-2.5,Central Michigan,Central Michigan -2.5,WIN,True,1.0,True,1.0,10.947072207656218,10.648523942946575
2025,12,Old Dominion,Troy,33.0,0.0,33.0,-9.5,Troy,Troy +9.5,LOSS,True,0.0,True,0.0,18.890515648672096,1.4224978874226082
2025,12,Louisville,Clemson,19.0,20.0,-1.0,-2.5,Louisville,Louisville -2.5,LOSS,True,0.0,True,0.0,17.732160007924673,5.536777930126021
2025,12,Oregon,Minnesota,42.0,13.0,29.0,-26.5,Minnesota,Minnesota +26.5,LOSS,True,0.0,True,1.0,45.55163352365423,8.330921916282364
2025,12,Cincinnati,Arizona,24.0,30.0,-6.0,-6.5,Cincinnati,Cincinnati -6.5,LOSS,True,0.0,True,1.0,16.418813326190048,-1.0709586354623895
2025,12,Charlotte,UTSA,7.0,28.0,-21.0,17.5,UTSA,UTSA -17.5,WIN,True,1.0,True,1.0,-26.862575344646753,-1.9126679325690148
2025,12,Ball State,Eastern Michigan,9.0,24.0,-15.0,2.5,Ball State,Ball State +2.5,LOSS,True,0.0,True,0.0,8.033620142166544,6.1630108421237395
2025,12,UConn,Air Force,26.0,16.0,10.0,-7.5,UConn,UConn -7.5,WIN,True,1.0,True,1.0,27.44894793740052,-8.497047088938885
2025,12,Navy,South Florida,41.0,38.0,3.0,8.5,South Florida,South Florida -8.5,WIN,True,1.0,True,0.0,-6.827317296425117,-6.773383566757687
2025,12,Texas A&M,South Carolina,31.0,30.0,1.0,-16.5,Texas A&M,Texas A&M -16.5,LOSS,True,0.0,True,1.0,47.711620848736075,4.5347577309034435
2025,12,Oklahoma State,Kansas State,6.0,14.0,-8.0,19.5,Kansas State,Kansas State -19.5,WIN,True,1.0,True,0.0,-30.959036767210375,5.928661661050334
2025,12,Indiana,Wisconsin,31.0,7.0,24.0,-27.5,Indiana,Indiana -27.5,LOSS,True,0.0,True,0.0,65.22767474870895,11.530383674412349
2025,12,Northwestern,Michigan,22.0,24.0,-2.0,10.5,Michigan,Michigan -10.5,WIN,True,1.0,True,1.0,-19.706667899371347,10.802149719158969
2025,12,Pittsburgh,Notre Dame,15.0,37.0,-22.0,12.5,Notre Dame,Notre Dame -12.5,WIN,True,1.0,True,0.0,-9.696229397553221,2.026948972422865
2025,12,LSU,Arkansas,23.0,22.0,1.0,-4.5,LSU,LSU -4.5,LOSS,True,0.0,True,1.0,20.837548890053245,-2.909682686464258
2025,12,Arizona State,West Virginia,25.0,23.0,2.0,-9.5,Arizona State,Arizona State -9.5,LOSS,True,0.0,True,1.0,25.850017567091637,8.34491252608354
2025,12,Tulsa,Oregon State,31.0,14.0,17.0,-1.5,Tulsa,Tulsa -1.5,WIN,True,1.0,True,0.0,10.121364639896008,4.950635248170769
2025,12,Kentucky,Tennessee Tech,42.0,10.0,32.0,-22.5,Tennessee Tech,Tennessee Tech +22.5,LOSS,True,0.0,True,0.0,29.297817221837473,2.420574566357203
2025,12,Georgia State,Marshall,18.0,30.0,-12.0,9.5,Marshall,Marshall -9.5,WIN,True,1.0,True,1.0,-17.94139513356129,-3.940832585971364
2025,12,UAB,North Texas,24.0,53.0,-29.0,17.5,North Texas,North Texas -17.5,WIN,True,1.0,True,0.0,-32.4589416397703,-13.573826320389834
2025,12,Missouri State,UTEP,38.0,24.0,14.0,-7.5,Missouri State,Missouri State -7.5,WIN,True,1.0,True,1.0,27.07254878188443,6.461143332785646
2025,12,New Mexico,Colorado State,20.0,17.0,3.0,-15.5,New Mexico,New Mexico -15.5,LOSS,True,0.0,True,0.0,39.98625072764817,1.0989732239742622
2025,12,Boston College,Georgia Tech,34.0,36.0,-2.0,16.5,Georgia Tech,Georgia Tech -16.5,WIN,True,1.0,True,0.0,-35.138467257477885,-5.978301824041523
2025,12,Alabama,Oklahoma,21.0,23.0,-2.0,-6.5,Alabama,Alabama -6.5,LOSS,True,0.0,True,0.0,18.749554065541712,8.124207109321944
2025,12,James Madison,App State,58.0,10.0,48.0,-19.5,James Madison,James Madison -19.5,WIN,True,1.0,True,1.0,46.30374244827044,0.8849115974229989
2025,12,Illinois,Maryland,24.0,6.0,18.0,-15.5,Maryland,Maryland +15.5,LOSS,True,0.0,True,0.0,29.664746209296492,3.852122116682665
2025,12,Michigan State,Penn State,10.0,28.0,-18.0,6.5,Penn State,Penn State -6.5,WIN,True,1.0,True,0.0,-6.91923964468418,5.925930662893755
2025,12,Texas Tech,UCF,48.0,9.0,39.0,-24.5,Texas Tech,Texas Tech -24.5,WIN,True,1.0,True,1.0,55.55193836082905,5.686093058670444
2025,12,Duke,Virginia,17.0,34.0,-17.0,-5.5,Virginia,Virginia +5.5,WIN,True,1.0,True,1.0,7.791372400804515,-4.45605344755019
2025,12,USC,Iowa,26.0,21.0,5.0,-6.5,USC,USC -6.5,LOSS,True,0.0,True,0.0,17.06504275455962,7.30726832448029
2025,12,Western Kentucky,Middle Tennessee,42.0,26.0,16.0,-13.5,Western Kentucky,Western Kentucky -13.5,WIN,True,1.0,True,1.0,42.542519735758276,3.0536928234488627
2025,12,Nevada,San José State,55.0,10.0,45.0,9.5,San José State,San José State -9.5,LOSS,True,0.0,True,1.0,-9.848828769841944,4.969709642587858
2025,12,UL Monroe,South Alabama,14.0,26.0,-12.0,4.5,UL Monroe,UL Monroe +4.5,LOSS,True,0.0,True,0.0,0.7716553249418929,4.404466858350695
2025,12,Southern Miss,Texas State,14.0,41.0,-27.0,-3.5,Southern Miss,Southern Miss -3.5,LOSS,True,0.0,True,1.0,25.16533827307582,-9.373555141362843
2025,12,Miami,NC State,41.0,7.0,34.0,-16.5,NC State,NC State +16.5,LOSS,True,0.0,False,,31.65349545257193,0.08941654059206883
