season,week,home_team,away_team,home_points,away_points,actual_margin,spread_line,ats_pick_team,ats_pick_description,spread_result,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,11,Ohio,Miami (OH),24.0,20.0,4.0,-2.5,Ohio,Ohio -2.5,WIN,True,1.0,True,0.0,7.999289759314642,5.671125355413082
2025,11,Akron,Massachusetts,44.0,10.0,34.0,-12.5,Akron,Akron -12.5,WIN,True,1.0,True,1.0,31.414945377591472,2.5526485844031797
2025,11,Ball State,Kent State,17.0,13.0,4.0,-3.5,Ball State,Ball State -3.5,WIN,True,1.0,True,0.0,10.035136659249615,6.031705106810762
2025,11,Toledo,Northern Illinois,42.0,3.0,39.0,-15.5,Toledo,Toledo -15.5,WIN,True,1.0,True,1.0,34.3391431435594,13.070058097681901
2025,11,South Florida,UTSA,55.0,23.0,32.0,-13.5,South Florida,South Florida -13.5,WIN,True,1.0,True,0.0,29.828385273518318,-10.572306349166112
2025,11,App State,Georgia Southern,23.0,25.0,-2.0,-4.5,App State,App State -4.5,LOSS,True,0.0,True,1.0,15.577093756056403,-6.429702730302644
2025,11,UCF,Houston,27.0,30.0,-3.0,-1.5,Houston,Houston +1.5,WIN,True,1.0,True,1.0,0.7905956634987477,7.803093756412466
2025,11,Memphis,Tulane,32.0,38.0,-6.0,-3.5,Memphis,Memphis -3.5,LOSS,True,0.0,True,1.0,20.447498233542824,1.9882956695260674
2025,11,USC,Northwestern,38.0,17.0,21.0,-14.5,USC,USC -14.5,WIN,True,1.0,True,1.0,31.273237883393538,1.182264838039643
2025,11,Mississippi State,Georgia,21.0,41.0,-20.0,9.5,Georgia,Georgia -9.5,WIN,True,1.0,False,,-13.057747873421661,-0.007170985987897893
2025,11,West Virginia,Colorado,29.0,22.0,7.0,-6.5,West Virginia,West Virginia -6.5,WIN,True,1.0,True,0.0,14.314559695406565,3.4704505410902513
2025,11,Arkansas State,Southern Miss,21.0,27.0,-6.0,6.5,Southern Miss,Southern Miss -6.5,WIN,True,1.0,True,0.0,-6.785134678431122,0.977619969969453
2025,11,Marshall,James Madison,23.0,35.0,-12.0,13.5,James Madison,James Madison -13.5,WIN,True,1.0,True,1.0,-18.86846132469324,3.851365039746071
2025,11,Texas Tech,BYU,29.0,7.0,22.0,-13.5,BYU,BYU +13.5,LOSS,True,0.0,False,,22.80343254260392,
2025,11,Army,Temple,14.0,13.0,1.0,-7.5,Army,Army -7.5,LOSS,True,0.0,True,0.0,15.605115947484604,10.475761569574196
