season,week,home_team,away_team,bet_spread,ats_outcome,bet_total,ou_outcome,edge_spread,edge_total
2025,1,Iowa,UAlbany,True,1.0,True,0.0,46.31096757390782,3.522764293817417
2025,1,Virginia,Coastal Carolina,True,1.0,True,0.0,20.310967573907817,-2.477235706182583
2025,1,Vanderbilt,Charleston Southern,True,1.0,True,0.0,45.31096757390782,1.522764293817417
2025,1,Troy,Nicholls,True,1.0,True,1.0,23.310967573907817,5.522764293817417
2025,1,Florida,Long Island University,True,1.0,True,1.0,53.31096757390782,-4.477235706182583
2025,1,Kansas State,North Dakota,True,1.0,True,0.0,34.31096757390782,-3.477235706182583
2025,1,Arkansas State,Southeast Missouri State,True,1.0,True,0.0,22.310967573907817,-7.477235706182583
2025,1,Texas A&M,UTSA,True,1.0,True,0.0,30.310967573907817,-7.477235706182583
2025,1,Western Kentucky,North Alabama,True,1.0,True,0.0,34.31096757390782,-8.477235706182583
2025,1,Middle Tennessee,Austin Peay,True,0.0,True,1.0,23.310967573907817,-1.477235706182583
2025,1,South Alabama,Morgan State,True,1.0,True,1.0,35.31096757390782,1.522764293817417
2025,1,Michigan,New Mexico,True,1.0,True,1.0,41.31096757390782,2.522764293817417
2025,1,Texas Tech,Arkansas-Pine Bluff,False,,True,0.0,,-10.477235706182583
2025,1,Clemson,LSU,True,0.0,True,1.0,12.310967573907817,-3.477235706182583
2025,1,Louisiana Tech,SE Louisiana,True,1.0,True,0.0,21.310967573907817,1.522764293817417
2025,1,USC,Missouri State,True,1.0,True,0.0,43.31096757390782,-8.477235706182583
2025,1,Utah State,UTEP,True,1.0,True,1.0,11.310967573907817,-6.477235706182583
2025,1,Ole Miss,Georgia State,True,1.0,True,0.0,40.31096757390782,-9.477235706182583
2025,1,North Texas,Lamar,True,1.0,True,1.0,34.31096757390782,-10.477235706182583
2025,1,BYU,Portland State,True,1.0,True,0.0,51.31096757390782,-10.477235706182583
2025,1,Tulsa,Abilene Christian,True,1.0,True,1.0,12.310967573907817,-7.477235706182583
2025,1,Louisiana,Rice,True,1.0,True,0.0,16.310967573907817,3.522764293817417
2025,1,Texas State,Eastern Michigan,True,1.0,True,0.0,20.310967573907817,-4.477235706182583
2025,1,SMU,East Texas A&M,True,1.0,True,1.0,57.31096757390782,-12.477235706182583
2025,1,New Mexico State,Bryant,True,1.0,False,,26.310967573907817,-0.47723570618258293
2025,1,Fresno State,Georgia Southern,True,1.0,True,1.0,5.310967573907816,0.5227642938174171
2025,1,Arizona State,Northern Arizona,True,1.0,False,,36.31096757390782,-0.47723570618258293
2025,1,Washington State,Idaho,True,1.0,True,0.0,23.310967573907817,1.522764293817417
2025,1,Arizona,Hawai'i,True,1.0,True,1.0,22.310967573907817,-3.477235706182583
2025,1,Oregon State,California,True,0.0,True,1.0,4.310967573907816,3.522764293817417
2025,1,UCLA,Utah,False,,True,1.0,0.31096757390781615,3.522764293817417
2025,1,Washington,Colorado State,True,1.0,True,1.0,29.310967573907817,0.5227642938174171
2025,1,South Carolina,Virginia Tech,True,1.0,False,,7.723735898889383,-0.17017875716347675
2025,1,Miami,Notre Dame,True,1.0,True,1.0,4.310967573907816,1.522764293817417
2025,1,North Carolina,TCU,True,0.0,True,0.0,3.310967573907816,-2.477235706182583
